name,birth_date,age,nationality,team,position,image_url
Maghnes Akliouche,2002-06-15,23,France,AS Monaco,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/745200-1717406573.jpg?lm=1
Savinho,2004-06-15,21,Brazil,Manchester City,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/743591-1751367497.jpg?lm=1
Jarrad Branthwaite,2002-06-15,23,England,Everton FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/661053-1687975679.jpg?lm=1
Gabriel Martinelli,2001-06-15,24,Brazil,Arsenal FC,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/655488-1682689091.jpg?lm=1
Iliman Ndiaye,2000-06-15,25,Senegal,Everton FC,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/623570-1651653048.png?lm=1
Rasmus Højlund,2003-06-15,22,Denmark,SSC Napoli,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/610442-1757931324.jpg?lm=1
Éderson,1999-06-15,26,Brazil,Atalanta BC,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/607854-1646648856.jpg?lm=1
Mateo Retegui,1999-06-15,26,Italy,Al-Qadsiah FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/554903-1681311414.jpg?lm=1
Gonçalo Inácio,2001-06-15,24,Portugal,Sporting CP,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/549006-1716296254.jpg?lm=1
Darwin Núñez,1999-06-15,26,Uruguay,Al-Hilal SFC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/546543-1681827179.jpg?lm=1
Jonathan David,2000-06-15,25,Canada,Juventus FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/533738-1760114012.jpg?lm=1
Nico González,2002-06-15,23,Spain,Manchester City,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/466805-1743669968.jpg?lm=1
Angelo Stiller,2001-06-15,24,Germany,VfB Stuttgart,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/443710-1753308094.jpg?lm=1
Dejan Kulusevski,2000-06-15,25,Sweden,Tottenham Hotspur,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/431755-1684943454.jpg?lm=1
Loïs Openda,2000-06-15,25,Belgium,Juventus FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/368887-1713944805.jpg?lm=1
Frenkie de Jong,1997-06-15,28,Netherlands,FC Barcelona,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/326330-1746041680.jpg?lm=1
Gianluigi Donnarumma,1999-06-15,26,Italy,Manchester City,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/315858-1761076746.jpg?lm=1
Serhou Guirassy,1996-06-15,29,Guinea,Borussia Dortmund,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/270541-1755989642.jpg?lm=1
Joshua Kimmich,1995-06-15,30,Germany,Bayern Munich,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/161056-1700039639.jpg?lm=1
Amadou Onana,2001-06-15,24,Belgium,Aston Villa,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/485706-1718697649.jpg?lm=1
Yankuba Minteh,2004-06-15,21,The Gambia,Brighton & Hove Albion,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1012534-1694774813.jpg?lm=1
Rodrigo Mora,2007-06-15,18,Portugal,FC Porto,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/957653-1758830632.jpg?lm=1
Hugo Larsson,2004-06-15,21,Sweden,Eintracht Frankfurt,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/931838-1696509259.jpg?lm=1
Myles Lewis-Skelly,2006-06-15,19,England,Arsenal FC,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/890721-1758053582.jpg?lm=1
Ethan Nwaneri,2007-06-15,18,England,Arsenal FC,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/890719-1730794927.jpg?lm=1
Lucas Bergvall,2006-06-15,19,Sweden,Tottenham Hotspur,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/866246-1701861399.jpg?lm=1
Kobbie Mainoo,2005-06-15,20,England,Manchester United,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/820374-1719349758.jpg?lm=1
Andrey Santos,2004-06-15,21,Brazil,Chelsea FC,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/743600-1732576153.png?lm=1
Nico O'Reilly,2005-06-15,20,England,Manchester City,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/743413-1751367149.jpg?lm=1
Giuliano Simeone,2003-06-15,22,Argentina,Atlético de Madrid,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/742201-1741120599.jpg?lm=1
João Gomes,2001-06-15,24,Brazil,Wolverhampton Wanderers,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/735570-1675092223.jpg?lm=1
Milos Kerkez,2003-06-15,22,Hungary,Liverpool FC,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/730861-1660762995.jpg?lm=1
Evanilson,1999-06-15,26,Brazil,AFC Bournemouth,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/711337-1737452098.jpg?lm=1
Jamie Gittens,2004-06-15,21,England,Chelsea FC,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/670882-1736780080.jpg?lm=1
Gavi,2004-06-15,21,Spain,FC Barcelona,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/646740-1682685701.jpg?lm=1
Castello Lukeba,2003-06-15,22,France,RB Leipzig,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/618472-1713897532.jpg?lm=1
Rayan Aït-Nouri,2001-06-15,24,Algeria,Manchester City,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/578391-1761076429.jpg?lm=1
Oihan Sancet,2000-06-15,25,Spain,Athletic Bilbao,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/571020-1709676037.png?lm=1
Destiny Udogie,2002-06-15,23,Italy,Tottenham Hotspur,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/556385-1697208468.jpg?lm=1
Pedro Porro,1999-06-15,26,Spain,Tottenham Hotspur,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/553875-1730812390.jpg?lm=1
Gonçalo Ramos,2001-06-15,24,Portugal,Paris Saint-Germain,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/550550-1681906158.jpg?lm=1
Mason Greenwood,2001-06-15,24,England,Olympique Marseille,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/532826-1693987766.jpg?lm=1
Malick Thiaw,2001-06-15,24,Germany,Newcastle United,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/521964-1682063635.jpg?lm=1
Tino Livramento,2002-06-15,23,England,Newcastle United,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/503981-1699383321.jpg?lm=1
Khéphren Thuram,2001-06-15,24,France,Juventus FC,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/463618-1683889273.jpg?lm=1
Lucas Chevalier,2001-06-15,24,France,Paris Saint-Germain,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/463600-1708342501.jpg?lm=1
Curtis Jones,2001-06-15,24,England,Liverpool FC,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/433188-1701681163.jpg?lm=1
Jørgen Strand Larsen,2000-06-15,25,Norway,Wolverhampton Wanderers,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/429983-1743541067.jpg?lm=1
Jean-Philippe Mateta,1997-06-15,28,France,Crystal Palace,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/420002-1723202650.jpg?lm=1
Ademola Lookman,1997-06-15,28,Nigeria,Atalanta BC,Second Striker,https://img.a.transfermarkt.technology/portrait/medium/406040-1682076571.jpg?lm=1
Boubacar Kamara,1999-06-15,26,France,Aston Villa,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/394327-1736160460.jpg?lm=1
Nico Schlotterbeck,1999-06-15,26,Germany,Borussia Dortmund,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/388198-1709560457.jpg?lm=1
